RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
53.07489,-27.8759,84.922,511.3,513.4,7.55,0.005563,9,0,1.0,1.0,88,aless34,spw1719
53.07754,-27.8839,85.3283,434.6,251.5,5.88,0.003594,7,1,0.352,0.929,89,aless34,spw1719
53.08102,-27.87655,84.5938,333.9,492.2,5.86,0.006047,19,2,0.329,0.972,90,aless34,spw1719
53.07719,-27.87992,86.2502,444.9,381.7,5.45,0.002748,5,6,0.044,0.653,91,aless34,spw1719
53.06867,-27.87972,97.0476,691.2,388.2,8.48,0.005426,9,0,1.0,1.0,92,aless34,spw2123
53.07362,-27.87172,97.032,548.1,650.0,8.42,0.00599,11,1,1.0,1.0,93,aless34,spw2123
53.0751,-27.8791,97.0476,505.2,408.6,8.33,0.004659,7,2,1.0,1.0,94,aless34,spw2123
53.06985,-27.87901,97.032,657.0,411.7,8.29,0.005312,9,3,1.0,1.0,95,aless34,spw2123
53.07569,-27.87513,97.032,488.3,538.6,8.14,0.006303,13,4,1.0,1.0,96,aless34,spw2123
53.07502,-27.87383,97.0633,507.5,581.0,8.05,0.005124,9,5,1.0,1.0,97,aless34,spw2123
53.07502,-27.87541,97.0633,507.5,529.5,8.02,0.006158,13,6,1.0,1.0,98,aless34,spw2123
53.07306,-27.87339,97.0476,564.3,595.6,7.88,0.006523,15,7,1.0,1.0,99,aless34,spw2123
53.07425,-27.87337,97.0633,530.0,596.2,7.76,0.006406,15,8,1.0,1.0,100,aless34,spw2123
53.07418,-27.87732,97.0789,531.8,467.0,7.59,0.005347,11,9,1.0,1.0,101,aless34,spw2123
53.07245,-27.87718,97.0633,581.9,471.5,7.43,0.006538,17,10,0.999,1.0,102,aless34,spw2123
53.07483,-27.87439,97.0789,513.0,562.8,7.24,0.006357,17,11,0.997,1.0,103,aless34,spw2123
53.07346,-27.87434,97.0945,552.8,564.4,7.06,0.006192,17,12,0.988,0.999,104,aless34,spw2123
53.07513,-27.87626,97.0164,504.4,501.7,6.97,0.003877,7,13,0.98,1.0,105,aless34,spw2123
53.07418,-27.875,97.0476,532.0,542.9,6.87,0.006421,19,14,0.965,0.997,106,aless34,spw2123
53.06956,-27.87747,96.9851,665.4,461.9,6.7,0.006074,17,15,0.919,0.995,107,aless34,spw2123
53.06772,-27.87978,97.0945,718.8,386.3,6.64,0.004184,9,16,0.896,0.988,108,aless34,spw2123
53.07516,-27.87752,97.0476,503.5,460.4,6.52,0.002184,3,17,0.833,1.0,109,aless34,spw2123
53.07361,-27.87652,97.1101,548.3,492.9,6.09,0.004245,11,19,0.473,0.886,111,aless34,spw2123
53.07483,-27.8761,98.2821,513.1,506.8,5.95,0.005593,17,20,0.343,0.938,112,aless34,spw2123
53.08003,-27.86758,98.2665,362.7,785.6,5.94,0.005524,17,21,0.334,0.936,113,aless34,spw2123
53.07668,-27.87512,97.1414,459.6,539.0,5.77,0.005057,17,22,0.201,0.901,114,aless34,spw2123
53.08169,-27.8673,98.2821,314.6,794.7,5.74,0.0057,19,23,0.181,0.623,115,aless34,spw2123
53.07379,-27.88654,97.0945,543.2,165.3,5.62,0.001848,3,27,0.115,0.671,117,aless34,spw2123
53.07565,-27.87449,97.407,489.2,559.6,5.43,0.004758,17,35,0.049,0.793,118,aless34,spw2123
53.08585,-27.8727,97.829,194.2,618.1,5.43,0.004758,15,36,0.049,0.724,119,aless34,spw2123
53.08212,-27.88608,97.3914,302.3,180.2,5.38,0.004722,17,39,0.038,0.773,121,aless34,spw2123
