RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
53.07541,-27.88406,98.4072,496.2,246.4,5.09,0.004799,17,74,0.007,0.637,131,aless34,spw2123
53.08061,-27.88536,97.3758,345.9,203.8,5.07,0.004464,17,76,0.006,0.626,132,aless34,spw2123
53.07612,-27.88416,98.3915,475.7,243,5.04,0.004774,17,83,0.005,0.61,133,aless34,spw2123
52.79195,-27.87687,97.4882,187.2,189.1,25.2,0.016296,17,0,1,1,134,aless41,allspw
52.79201,-27.87685,97.5975,186.4,189.4,19.02,0.008252,11,1,1,1,135,aless41,allspw
52.79185,-27.87687,97.3788,188.4,189.1,18.33,0.00799,11,2,1,1,136,aless41,allspw
52.79202,-27.87683,97.7069,186.3,189.7,11.77,0.006321,19,3,1,1,137,aless41,allspw
52.79185,-27.87686,97.2694,188.5,189.2,9.68,0.005285,19,4,1,1,138,aless41,allspw
52.7909,-27.87376,87.1911,200.6,233.9,8.99,0.004344,19,5,1,1,139,aless41,allspw
52.79092,-27.87377,87.7067,200.3,233.7,8.36,0.00434,19,6,1,1,140,aless41,allspw
52.7909,-27.87377,87.3004,200.5,233.8,7.95,0.003983,19,7,1,1,141,aless41,allspw
52.79087,-27.87376,87.5973,200.9,233.9,7.76,0.003996,19,8,1,1,142,aless41,allspw
52.79086,-27.87372,88.3005,201.1,234.4,7.64,0.004139,19,9,1,1,143,aless41,allspw
52.79092,-27.87376,87.8161,200.3,233.8,7.5,0.003857,19,10,1,1,144,aless41,allspw
52.79082,-27.87375,88.1911,201.6,234,7.47,0.004264,19,11,1,1,145,aless41,allspw
52.79088,-27.87377,86.6754,200.8,233.7,7.38,0.003559,19,12,1,1,146,aless41,allspw
52.79089,-27.87369,85.8004,200.7,234.9,7.36,0.004258,19,13,1,1,147,aless41,allspw
52.79084,-27.87371,98.1288,201.3,234.6,7.36,0.003992,19,14,1,1,148,aless41,allspw
52.79091,-27.87376,87.0817,200.5,233.9,7.25,0.003696,19,15,1,1,149,aless41,allspw
52.79086,-27.87375,88.0817,201.1,234,7.21,0.003935,19,16,1,1,150,aless41,allspw
52.79081,-27.87382,87.4567,201.7,233,7.12,0.003469,19,17,1,1,151,aless41,allspw
52.7908,-27.87371,97.9882,201.8,234.6,7.04,0.003687,19,18,1,1,152,aless41,allspw
52.79086,-27.87372,100.1289,201.1,234.5,6.87,0.00377,19,19,1,1,153,aless41,allspw
52.79091,-27.87377,85.5973,200.4,233.8,6.71,0.003972,19,20,1,1,154,aless41,allspw
52.79088,-27.87372,86.7848,200.9,234.4,6.55,0.003034,19,21,1,1,155,aless41,allspw
52.79089,-27.87375,87.9567,200.7,234,6.54,0.003434,19,22,1,1,156,aless41,allspw
52.79097,-27.87373,86.4254,199.7,234.3,6.3,0.003368,19,23,1,1,157,aless41,allspw
52.79085,-27.87369,98.2382,201.3,234.9,6.29,0.003543,19,24,1,1,158,aless41,allspw
52.79091,-27.87373,99.6913,200.4,234.3,6.15,0.003489,17,25,1,0.986,159,aless41,allspw
52.7909,-27.87373,86.9254,200.6,234.3,6.15,0.003253,19,26,1,1,160,aless41,allspw
52.79091,-27.87383,86.5348,200.4,232.9,6.12,0.003118,19,27,1,1,161,aless41,allspw
52.79084,-27.87377,100.2382,201.4,233.8,6.1,0.002536,19,28,1,1,162,aless41,allspw
52.79087,-27.87381,97.7225,201,233.1,5.82,0.003088,19,29,1,1,163,aless41,allspw
52.7909,-27.87371,88.4098,200.5,234.6,5.81,0.002358,19,30,1,1,164,aless41,allspw
52.79093,-27.87377,85.0973,200.2,233.7,5.81,0.003227,19,31,1,1,165,aless41,allspw
52.79087,-27.87372,100.0195,201,234.4,5.75,0.003313,19,32,1,1,166,aless41,allspw
52.79095,-27.87374,86.3004,200,234.2,5.75,0.002999,19,33,1,1,167,aless41,allspw
52.79095,-27.87372,85.2066,199.9,234.4,5.71,0.003234,19,34,1,1,168,aless41,allspw
52.79085,-27.87368,97.1913,201.2,234.9,5.61,0.00297,19,35,1,1,169,aless41,allspw
52.79085,-27.87376,97.5975,201.3,233.9,5.6,0.00327,19,36,0.999,1,170,aless41,allspw
52.79076,-27.87375,97.8788,202.4,234,5.59,0.002848,19,37,0.998,1,171,aless41,allspw
52.79093,-27.87372,99.5663,200.2,234.4,5.57,0.003399,19,39,0.992,1,172,aless41,allspw
52.79089,-27.87372,98.6601,200.7,234.4,5.56,0.002783,17,40,0.985,0.892,173,aless41,allspw
52.79092,-27.87375,85.441,200.3,234,5.56,0.003275,19,41,0.985,1,174,aless41,allspw
52.79085,-27.87367,85.941,201.2,235.2,5.48,0.003047,19,43,0.648,1,175,aless41,allspw
52.79086,-27.87375,99.8007,201.1,234,5.47,0.003231,19,44,0.562,1,176,aless41,allspw
52.79112,-27.87374,98.8788,197.7,234.2,5.43,0.003033,19,45,0.228,1,177,aless41,allspw
52.79078,-27.87374,97.3632,202.1,234.2,5.4,0.003181,19,46,0.078,0.999,178,aless41,allspw
52.79095,-27.87371,85.3316,199.9,234.6,5.34,0.003059,19,47,0.003,0.999,179,aless41,allspw
52.78873,-27.86782,98.5038,228.2,319.3,5.29,0.002575,19,48,0,0.998,180,aless41,allspw
52.79076,-27.8737,98.3476,202.4,234.7,5.21,0.002941,19,50,0,0.995,181,aless41,allspw
52.79769,-27.88586,87.2223,114.1,59.6,5.1,0.001841,11,57,0,0.635,182,aless41,allspw
52.79075,-27.87376,97.4882,202.5,233.8,5.06,0.003443,19,59,0,0.977,183,aless41,allspw
