RA,DEC,FREQ_GHZ,X,Y,SNR,FLUX_MAX,BINNING,GROUP,F,F_kw,ID,source,window
53.15258,-27.5848,97.6727,507.9,408.9,15.96,0.016439,19,21,1,1,112,aless62,spw2123
53.15606,-27.58055,97.5321,407.1,547.9,15.87,0.01405,15,22,1,1,113,aless62,spw2123
53.15254,-27.58097,97.6415,509.1,534.2,15.7,0.009462,7,23,1,1,114,aless62,spw2123
53.15058,-27.58431,97.6571,565.9,424.8,15.66,0.014154,15,24,1,1,115,aless62,spw2123
53.15026,-27.58366,97.6571,575.4,446.2,15.19,0.012751,13,25,1,1,116,aless62,spw2123
53.15279,-27.57781,97.5164,501.9,637.6,14.88,0.014067,17,26,1,1,117,aless62,spw2123
53.1501,-27.58005,97.5164,579.9,564.2,14.37,0.011632,13,27,1,1,118,aless62,spw2123
53.15675,-27.58067,97.5164,387.1,544.1,13.96,0.009291,9,28,1,1,119,aless62,spw2123
53.15435,-27.57905,97.6571,456.5,597.2,13.81,0.008285,7,29,1,1,120,aless62,spw2123
53.15591,-27.58276,97.5164,411.5,475.8,13.78,0.007978,7,30,1,1,121,aless62,spw2123
53.1521,-27.58154,97.6883,521.8,515.7,13.78,0.013408,17,31,1,1,122,aless62,spw2123
53.15037,-27.58055,97.6727,572,548.1,13.62,0.011421,13,32,1,1,123,aless62,spw2123
53.15379,-27.58266,97.5946,473.1,478.8,13.33,0.004613,3,33,1,1,124,aless62,spw2123
53.14918,-27.58045,97.6883,606.7,551.4,12.95,0.011758,15,34,1,1,125,aless62,spw2123
53.15379,-27.58408,97.4852,473,432.5,12.53,0.011666,17,35,1,1,126,aless62,spw2123
53.14933,-27.58215,97.5008,602.3,495.6,12.5,0.010114,13,36,1,1,127,aless62,spw2123
53.15153,-27.58117,97.6883,538.5,527.6,12.16,0.0102,13,37,1,1,128,aless62,spw2123
53.15211,-27.58146,97.4696,521.8,518.3,11.91,0.011701,19,38,1,1,129,aless62,spw2123
53.15096,-27.58084,97.6883,554.9,538.6,11.3,0.008638,11,39,1,1,130,aless62,spw2123
53.15446,-27.58499,97.7352,453.6,402.7,11.2,0.011552,19,40,1,1,131,aless62,spw2123
53.14997,-27.58352,97.4852,583.8,450.8,10.88,0.008774,13,41,1,1,132,aless62,spw2123
53.15278,-27.58159,97.4539,502.3,513.8,10.67,0.010408,19,42,1,1,133,aless62,spw2123
53.15081,-27.57954,97.7509,559.4,581.1,10.04,0.010323,19,43,1,1,134,aless62,spw2123
53.15337,-27.58322,97.4383,485,460.8,9.52,0.009202,19,44,1,1,135,aless62,spw2123
